Report Number,Date Reported,Date of Occurrence,Time of Occurrence,City,Crime Code,Crime Description,Victim Age,Victim Gender,Weapon Used,Crime Domain,Police Deployed,Case Closed,Date Case Closed
2,01-01-2020 19:00,01-01-2020 01:00,01-01-2020 06:26,Chennai,128,HOMICIDE,37,M,Poison,Other Crime,9,No,
6,02-01-2020 03:00,01-01-2020 05:00,01-01-2020 17:09,Delhi,442,ASSAULT,16,M,Firearm,Violent Crime,18,Yes,30-03-2020 03:00
7,01-01-2020 16:00,01-01-2020 06:00,01-01-2020 14:08,Chennai,172,VEHICLE - STOLEN,64,F,Knife,Violent Crime,13,Yes,24-03-2020 16:00
8,02-01-2020 10:00,01-01-2020 07:00,02-01-2020 06:33,Chennai,169,COUNTERFEITING,78,X,Knife,Other Crime,8,No,
9,04-01-2020 03:00,01-01-2020 08:00,02-01-2020 06:34,Mumbai,338,EXTORTION,41,X,Blunt Object,Other Crime,1,No,
10,03-01-2020 07:00,01-01-2020 09:00,01-01-2020 17:50,Chennai,497,PUBLIC INTOXICATION,29,M,Knife,Other Crime,4,No,
11,02-01-2020 13:00,01-01-2020 10:00,01-01-2020 19:42,Delhi,260,FRAUD,71,M,Explosives,Other Crime,5,Yes,01-02-2020 13:00
14,02-01-2020 22:00,01-01-2020 13:00,01-01-2020 17:46,Mumbai,436,ASSAULT,32,X,None,Violent Crime,18,No,
22,03-01-2020 12:00,01-01-2020 21:00,02-01-2020 10:11,Mumbai,374,VANDALISM,64,F,Other,Other Crime,15,Yes,03-03-2020 12:00
24,03-01-2020 09:00,01-01-2020 23:00,01-01-2020 23:40,Chennai,322,VANDALISM,77,F,Other,Other Crime,18,No,
33,03-01-2020 04:00,01-02-2020 08:00,03-01-2020 03:01,Delhi,319,ILLEGAL POSSESSION,73,F,Knife,Other Crime,19,No,
36,04-01-2020 21:00,01-02-2020 11:00,02-01-2020 17:48,Chennai,396,COUNTERFEITING,32,F,Blunt Object,Other Crime,11,No,
40,03-01-2020 02:00,01-02-2020 15:00,03-01-2020 14:05,Mumbai,154,FRAUD,69,F,Explosives,Other Crime,10,Yes,15-01-2020 02:00
43,03-01-2020 03:00,01-02-2020 18:00,03-01-2020 09:30,Delhi,172,FIREARM OFFENSE,40,M,Poison,Fire Accident,10,Yes,17-03-2020 03:00
44,04-01-2020 07:00,01-02-2020 19:00,03-01-2020 08:34,Mumbai,300,SEXUAL ASSAULT,44,M,Other,Violent Crime,7,No,
47,05-01-2020 04:00,01-02-2020 22:00,03-01-2020 09:55,Delhi,555,ROBBERY,47,F,None,Violent Crime,9,No,
54,05-01-2020 10:00,01-03-2020 05:00,03-01-2020 18:47,Delhi,312,BURGLARY,75,M,Explosives,Other Crime,2,No,
59,04-01-2020 14:00,01-03-2020 10:00,04-01-2020 02:40,Chennai,449,TRAFFIC VIOLATION,75,F,Blunt Object,Traffic Fatality,16,No,
61,03-01-2020 22:00,01-03-2020 12:00,03-01-2020 15:04,Mumbai,196,SHOPLIFTING,16,M,Poison,Other Crime,10,No,
63,03-01-2020 20:00,01-03-2020 14:00,04-01-2020 09:27,Chennai,495,FRAUD,56,M,Explosives,Other Crime,5,Yes,15-03-2020 20:00
74,06-01-2020 05:00,01-04-2020 01:00,04-01-2020 03:01,Chennai,524,ARSON,36,M,Firearm,Fire Accident,5,Yes,20-01-2020 05:00
76,06-01-2020 00:00,01-04-2020 03:00,04-01-2020 20:57,Delhi,191,VANDALISM,52,M,Explosives,Other Crime,7,Yes,26-01-2020 00:00
77,04-01-2020 22:00,01-04-2020 04:00,04-01-2020 14:30,Mumbai,369,KIDNAPPING,25,F,Explosives,Other Crime,14,No,
79,05-01-2020 20:00,01-04-2020 06:00,05-01-2020 03:40,Mumbai,229,ROBBERY,39,F,Poison,Violent Crime,4,No,
81,05-01-2020 03:00,01-04-2020 08:00,04-01-2020 23:33,Delhi,197,ASSAULT,61,F,Knife,Violent Crime,10,Yes,04-03-2020 03:00
83,06-01-2020 12:00,01-04-2020 10:00,05-01-2020 09:17,Mumbai,305,ROBBERY,25,F,Firearm,Violent Crime,14,Yes,21-03-2020 12:00
86,06-01-2020 17:00,01-04-2020 13:00,05-01-2020 06:42,Mumbai,438,VANDALISM,22,M,Other,Other Crime,5,Yes,11-03-2020 17:00
89,06-01-2020 22:00,01-04-2020 16:00,04-01-2020 21:21,Mumbai,108,HOMICIDE,16,F,Knife,Other Crime,6,No,
94,06-01-2020 21:00,01-04-2020 21:00,05-01-2020 08:12,Mumbai,272,SEXUAL ASSAULT,42,F,Firearm,Violent Crime,3,No,
102,05-01-2020 16:00,01-05-2020 05:00,05-01-2020 22:34,Mumbai,566,EXTORTION,69,F,Explosives,Other Crime,18,No,
104,07-01-2020 16:00,01-05-2020 07:00,05-01-2020 14:13,Mumbai,250,VEHICLE - STOLEN,38,F,Poison,Violent Crime,14,Yes,19-02-2020 16:00
109,07-01-2020 20:00,01-05-2020 12:00,06-01-2020 00:07,Chennai,169,PUBLIC INTOXICATION,55,F,Blunt Object,Other Crime,8,No,
110,05-01-2020 17:00,01-05-2020 13:00,05-01-2020 23:32,Delhi,464,ARSON,15,F,Other,Fire Accident,9,No,
112,08-01-2020 05:00,01-05-2020 15:00,06-01-2020 07:02,Delhi,183,COUNTERFEITING,37,F,None,Other Crime,6,No,
116,05-01-2020 20:00,01-05-2020 19:00,06-01-2020 06:26,Mumbai,353,BURGLARY,64,F,Knife,Other Crime,10,No,
118,06-01-2020 20:00,01-05-2020 21:00,06-01-2020 02:16,Delhi,287,DRUG OFFENSE,32,M,Explosives,Other Crime,13,Yes,30-03-2020 20:00
119,07-01-2020 19:00,01-05-2020 22:00,05-01-2020 23:48,Mumbai,257,ILLEGAL POSSESSION,14,M,Poison,Other Crime,3,Yes,27-02-2020 19:00
122,08-01-2020 19:00,01-06-2020 01:00,06-01-2020 22:59,Delhi,321,KIDNAPPING,22,F,Other,Other Crime,19,Yes,06-04-2020 19:00
135,06-01-2020 18:00,01-06-2020 14:00,07-01-2020 07:26,Delhi,406,VANDALISM,50,F,Other,Other Crime,15,No,
136,09-01-2020 07:00,01-06-2020 15:00,07-01-2020 02:16,Delhi,278,FRAUD,71,F,Other,Other Crime,7,No,
138,08-01-2020 12:00,01-06-2020 17:00,06-01-2020 20:11,Mumbai,445,ASSAULT,12,M,Blunt Object,Violent Crime,6,No,
141,08-01-2020 13:00,01-06-2020 20:00,07-01-2020 14:13,Delhi,270,DOMESTIC VIOLENCE,73,F,Other,Violent Crime,14,No,
142,07-01-2020 23:00,01-06-2020 21:00,07-01-2020 06:34,Mumbai,113,FIREARM OFFENSE,41,F,Blunt Object,Fire Accident,4,Yes,27-03-2020 23:00
143,07-01-2020 09:00,01-06-2020 22:00,07-01-2020 12:37,Mumbai,278,ILLEGAL POSSESSION,45,F,None,Other Crime,2,No,
153,08-01-2020 01:00,01-07-2020 08:00,07-01-2020 17:21,Delhi,248,IDENTITY THEFT,23,F,Knife,Violent Crime,16,No,
154,09-01-2020 16:00,01-07-2020 09:00,07-01-2020 19:49,Chennai,523,KIDNAPPING,39,F,Other,Other Crime,11,No,
159,09-01-2020 18:00,01-07-2020 14:00,08-01-2020 06:49,Delhi,236,VEHICLE - STOLEN,38,F,Poison,Violent Crime,15,Yes,08-02-2020 18:00
167,08-01-2020 16:00,01-07-2020 22:00,08-01-2020 05:25,Delhi,470,VANDALISM,79,M,Explosives,Other Crime,13,Yes,27-01-2020 16:00
168,08-01-2020 22:00,01-07-2020 23:00,08-01-2020 02:01,Delhi,518,FRAUD,12,F,Firearm,Other Crime,3,Yes,04-03-2020 22:00
177,08-01-2020 14:00,01-08-2020 08:00,09-01-2020 02:25,Chennai,134,FIREARM OFFENSE,28,F,Firearm,Fire Accident,8,Yes,21-03-2020 14:00
178,09-01-2020 15:00,01-08-2020 09:00,08-01-2020 16:59,Mumbai,331,ILLEGAL POSSESSION,54,F,None,Other Crime,11,No,
182,10-01-2020 13:00,01-08-2020 13:00,09-01-2020 12:16,Mumbai,541,CYBERCRIME,53,F,Poison,Other Crime,9,No,
185,08-01-2020 19:00,01-08-2020 16:00,08-01-2020 17:27,Mumbai,151,FRAUD,67,F,Other,Other Crime,19,Yes,03-03-2020 19:00
187,09-01-2020 09:00,01-08-2020 18:00,09-01-2020 10:28,Delhi,541,VANDALISM,75,F,Blunt Object,Other Crime,4,Yes,13-02-2020 09:00
190,11-01-2020 05:00,01-08-2020 21:00,08-01-2020 21:24,Chennai,151,CYBERCRIME,44,M,Explosives,Other Crime,15,Yes,12-02-2020 05:00
191,09-01-2020 15:00,01-08-2020 22:00,09-01-2020 15:53,Chennai,268,KIDNAPPING,63,F,Knife,Other Crime,9,No,
192,09-01-2020 02:00,01-08-2020 23:00,09-01-2020 20:39,Delhi,381,IDENTITY THEFT,18,M,Blunt Object,Violent Crime,11,Yes,20-01-2020 02:00
195,11-01-2020 16:00,01-09-2020 02:00,09-01-2020 08:16,Delhi,235,ILLEGAL POSSESSION,33,F,Poison,Other Crime,12,No,
199,10-01-2020 09:00,01-09-2020 06:00,09-01-2020 21:01,Delhi,367,ARSON,62,F,Firearm,Fire Accident,3,No,
203,10-01-2020 04:00,01-09-2020 10:00,09-01-2020 12:58,Mumbai,257,DRUG OFFENSE,34,F,Blunt Object,Other Crime,2,Yes,15-03-2020 04:00
212,10-01-2020 00:00,01-09-2020 19:00,10-01-2020 14:15,Delhi,439,FIREARM OFFENSE,34,M,Blunt Object,Fire Accident,17,No,
215,11-01-2020 16:00,01-09-2020 22:00,10-01-2020 00:56,Delhi,267,SEXUAL ASSAULT,44,M,Explosives,Violent Crime,1,Yes,01-09-2021 16:00
224,12-01-2020 21:00,01-10-2020 07:00,10-01-2020 23:31,Chennai,307,ROBBERY,49,F,Knife,Violent Crime,19,Yes,01-05-2020 21:00
227,12-01-2020 16:00,01-10-2020 10:00,10-01-2020 23:35,Mumbai,365,VANDALISM,35,F,Poison,Other Crime,15,Yes,16-03-2020 16:00
233,12-01-2020 17:00,01-10-2020 16:00,10-01-2020 19:09,Mumbai,136,HOMICIDE,11,F,Other,Other Crime,9,No,
235,12-01-2020 21:00,01-10-2020 18:00,10-01-2020 20:30,Mumbai,514,TRAFFIC VIOLATION,23,F,Firearm,Traffic Fatality,19,Yes,14-01-2020 21:00
238,12-01-2020 02:00,01-10-2020 21:00,11-01-2020 04:23,Chennai,583,CYBERCRIME,35,M,Knife,Other Crime,4,No,
239,12-01-2020 17:00,01-10-2020 22:00,11-01-2020 10:13,Delhi,418,FIREARM OFFENSE,65,M,Knife,Fire Accident,15,No,
241,12-01-2020 14:00,01-11-2020 00:00,11-01-2020 00:34,Mumbai,402,COUNTERFEITING,35,F,Other,Other Crime,17,No,
251,14-01-2020 07:00,01-11-2020 10:00,12-01-2020 02:39,Delhi,342,FIREARM OFFENSE,45,F,Other,Fire Accident,13,No,
259,12-01-2020 22:00,01-11-2020 18:00,11-01-2020 22:11,Mumbai,151,EXTORTION,33,M,Poison,Other Crime,8,Yes,02-04-2020 22:00
261,12-01-2020 20:00,01-11-2020 20:00,12-01-2020 01:13,Chennai,542,BURGLARY,11,F,None,Other Crime,7,Yes,28-05-2020 20:00
266,12-01-2020 12:00,01-12-2020 01:00,12-01-2020 03:39,Chennai,430,IDENTITY THEFT,17,F,Explosives,Violent Crime,19,No,
273,13-01-2020 00:00,01-12-2020 08:00,12-01-2020 11:51,Delhi,584,IDENTITY THEFT,36,M,Other,Violent Crime,3,No,
279,14-01-2020 09:00,01-12-2020 14:00,13-01-2020 04:56,Chennai,410,TRAFFIC VIOLATION,58,M,Knife,Traffic Fatality,8,Yes,30-01-2020 09:00
284,14-01-2020 19:00,01-12-2020 19:00,13-01-2020 03:34,Mumbai,481,ARSON,55,F,None,Fire Accident,5,Yes,28-03-2020 19:00
286,15-01-2020 04:00,01-12-2020 21:00,13-01-2020 05:53,Mumbai,212,SHOPLIFTING,38,M,Other,Other Crime,11,Yes,25-03-2020 04:00
